date,low,high,open,coinbase_close,coinbase_volume
2021-01-01,28700.0,29688.88,28990.08,29412.84,22211.25251806
2021-01-02,29039.0,33300.0,29413.29,32225.91,46675.24652146
2021-01-03,32008.62,34810.0,32222.88,33080.66,36951.71650628
2021-01-04,27678.0,33666.99,33082.84,32019.99,46045.38968508
2021-01-05,29891.13,34499.67,32020.22,34030.64,42282.56920027
2021-01-06,33352.54,37000.0,34043.91,36859.26,45744.10320015
2021-01-07,36200.0,40425.0,36859.26,39505.56,50346.30569052
2021-01-08,36565.08,41986.37,39510.55,40665.15,48522.48490272
2021-01-09,38800.0,41406.94,40642.15,40257.43,27152.97102881
2021-01-10,34444.0,41452.12,40257.43,38171.57,43736.57031589
2021-01-11,30100.0,38273.88,38168.89,35452.59,102503.15672849
2021-01-12,32500.0,36604.51,35456.89,34038.98,48227.62752035
2021-01-13,32309.04,37888.0,34035.53,37393.66,39608.73718747
2021-01-14,36751.11,40127.66,37393.67,39125.14,31868.76049365
2021-01-15,34298.93,39697.0,39123.05,36754.67,36421.05918785
2021-01-16,35372.59,37948.0,36754.6,36006.94,20861.42545209
2021-01-17,33850.03,36860.0,36004.8,35820.0,19182.04934663
2021-01-18,34736.46,37402.0,35820.01,36624.23,16609.64108414
2021-01-19,35895.11,37857.0,36624.23,35917.28,18904.77910604
2021-01-20,33387.01,36415.34,35921.91,35503.09,25445.70800774
2021-01-21,30011.0,35628.24,35498.85,30855.95,50473.11375071
2021-01-22,28732.0,33867.0,30855.9,32984.93,48155.72161708
2021-01-23,31432.19,33488.79,32982.66,32112.01,16139.81478284
2021-01-24,30931.21,33086.53,32110.0,32288.56,13618.80097809
2021-01-25,31920.8,34888.0,32293.18,32261.87,23045.66293389
2021-01-26,30830.0,32960.37,32260.52,32510.82,23535.83891688
2021-01-27,29156.0,32584.62,32510.82,30407.13,46207.08537355
2021-01-28,29902.14,34000.0,30414.11,33488.99,36007.06269488
2021-01-29,31990.0,38570.13,33487.92,34262.11,72641.07974951
2021-01-30,32852.86,34900.0,34262.11,34315.63,21362.15173754
2021-01-31,32200.0,34387.75,34315.63,33137.74,16436.39757593
2021-02-01,32333.0,34728.57,33137.75,33533.19,21975.41378272
2021-02-02,33450.0,36000.0,33534.39,35512.67,19995.83908338
2021-02-03,35393.8,37723.72,35513.0,37678.37,23781.96945181
2021-02-04,36156.45,38769.0,37688.42,36975.0,31699.36292316
2021-02-05,36605.87,38349.0,36976.59,38311.49,17842.70173175
2021-02-06,38250.0,41000.0,38327.09,39265.43,27102.80602941
2021-02-07,37371.35,39737.83,39266.1,38871.42,20297.87256102
2021-02-08,38057.01,46750.0,38871.43,46448.1,47934.0103883
2021-02-09,45020.0,48200.0,46453.66,46514.73,36418.79365116
2021-02-10,43706.86,47349.99,46514.73,44850.0,25818.01157857
2021-02-11,44011.0,48690.0,44850.0,47997.91,26222.60477552
2021-02-12,46300.0,48912.0,47993.6,47408.34,23503.15583529
2021-02-13,46300.0,48199.0,47408.34,47232.45,12020.8773325
2021-02-14,47100.13,49700.0,47240.75,48680.69,15146.55244091
2021-02-15,45768.46,49093.44,48667.23,47936.37,19432.15278111
2021-02-16,47051.22,50645.0,47935.66,49158.71,23053.20561135
2021-02-17,48942.87,52640.35,49141.43,52170.01,25675.171441
2021-02-18,50875.0,52549.99,52170.01,51601.73,15689.40275173
2021-02-19,50725.0,56370.05,51596.0,55983.56,27961.48197104
2021-02-20,54000.1,57563.57,55983.57,55923.52,22137.82194494
2021-02-21,55531.23,58367.0,55921.44,57489.16,13530.43444443
2021-02-22,46616.0,57577.69,57489.16,54142.13,49449.16575779
2021-02-23,44888.08,54206.22,54125.67,48899.99,72300.585728
2021-02-24,47002.0,51415.41,48899.99,49737.82,30732.14949499
2021-02-25,46700.0,52107.83,49737.81,47058.48,28011.20414657
2021-02-26,44150.0,48464.64,47063.9,46326.2,36048.6181927
2021-02-27,45055.0,48356.86,46319.79,46180.75,16290.28071728
